ID,temperature,wind_speed,wind_direction,precipation,freeze_days,carrot_price,scarf_tag,action_movies,log_consumption,Hoember
MINTA_0521,19.498011619497262,2.1132936852348783,5.071507812979673,16.626832935586812,4,202.36333183599,1,0,29.525120877380104,0.0
MINTA_0737,-13.882307751263852,12.816526293804124,0.7552842958271747,20.66801702475124,2,231.6176273421936,0,3,71.06460921697685,145639.0
MINTA_0740,10.493722292731746,4.320763650191992,1.668706153884644,9.253740642159066,4,170.91489482462032,0,4,56.91676098998381,0.0
MINTA_0660,-17.26796726181181,12.39175909795659,0.1102847516114799,9.619743966578373,1,197.5788304334862,1,5,30.899610596286596,82864.0
MINTA_0411,4.075136111196464,13.004021847963068,1.8429123537257,29.82517316384177,5,226.6631935103345,1,0,88.55242578295542,49767.0
MINTA_0678,8.011392994484325,3.040497062572962,4.857793662571089,30.76755309530298,6,210.83599231254195,1,0,81.83184838194018,0.0
MINTA_0626,-0.2180629696077858,1.2269925422133632,3.254441977422661,11.766389740581076,6,212.7678276038839,0,0,20.281253475529315,114942.0
MINTA_0513,-6.42119057249208,15.615231721368795,2.1871491164889503,15.587409917056902,2,233.241285751497,0,0,12.092667385873588,161818.0
MINTA_0859,-9.407954292636576,9.196008475386405,2.335706875856754,7.828140585751116,4,187.81272653391417,0,1,65.06646098661415,155225.0
MINTA_0136,-12.556586672850234,1.1632759101095158,0.0085050812068499,5.986969067520125,2,181.49507368633184,0,1,58.33045030852281,137986.0
MINTA_0811,16.476457212391296,19.897326343395346,1.8837022698825787,6.40353758092051,5,217.2771331079701,1,2,84.86524992889167,0.0
MINTA_0076,11.530970389386454,1.1556112199273327,4.061820067157249,15.027564928547854,4,195.5170554196673,0,0,28.72042297282959,0.0
MINTA_0636,18.251345533325622,13.900704577171064,6.121044215722924,0.6313230343926648,4,233.66610703093147,0,2,16.751035831598962,0.0
MINTA_0973,-23.785138825722765,19.67357850526827,5.322240142392627,13.09389485265732,2,211.0932031134517,1,3,30.73722670175892,0.0
MINTA_0938,6.543373760182213,4.783602084318512,0.1482515351842104,11.908018060184734,2,181.2994795912921,0,2,11.514211240917076,0.0
MINTA_0899,16.91702284105189,2.8449873737439235,5.645822788903355,15.96783693132609,1,210.15152080433427,0,4,12.871420095114594,0.0
MINTA_0280,-20.938346691716998,2.427698788448578,4.920980763044292,8.896035314252469,7,172.919010073324,1,1,83.18862447366077,0.0
MINTA_0883,-26.675186631661127,6.065502951351911,4.903247793694946,19.69757363064264,7,228.4078540507117,0,1,38.16132660015026,0.0
MINTA_0761,7.056032464502955,2.020916220212934,2.877672223721803,22.98066870698613,5,158.08543080355545,0,0,42.86472008077445,0.0
MINTA_0319,-1.2763443410044033,13.84322683388264,2.500741008871439,10.197612196595262,7,236.66195822588557,0,0,11.469732363048353,117788.0
MINTA_0549,12.0914388379136,1.2458359626012538,1.903275656718312,51.51275084331676,1,209.6262953355373,0,3,31.64174241374773,0.0
MINTA_0174,-23.011381168685524,10.188442562995794,0.4127729725393063,2.5545503142880177,6,195.0631709113198,1,5,74.37807869931449,0.0
MINTA_0371,9.76336559299451,19.933937077059536,1.4340450824824025,26.49498013144596,4,222.9000245280163,0,3,59.23927677333754,0.0
MINTA_0527,-19.918633997612773,16.279405390120377,1.5494563359910023,26.320136975488467,2,215.33979932487065,1,4,70.30244808691322,28802.0
MINTA_0210,-21.817202856714776,12.304388764620215,3.041545931945687,27.303972160025516,4,239.91145056974185,0,0,45.777099263502805,0.0
MINTA_0235,-21.786710103450357,6.125072415732234,4.6963317134619125,13.333233741146458,4,239.631852150604,1,0,34.7783377401064,0.0
MINTA_0101,10.728736011569104,12.47791672583277,2.977034952187259,21.321719654884284,3,210.56871332498855,1,3,48.62480746626963,0.0
